code,name,credit,hours,type,major
CST332,现代密码学 Modern Cryptography,3.0,51,必修,20252025计算机类(2025计算机类)
CST333,网络安全原理与实践 Principles and Practices of Cybersecurity,3.0,51,必修,20252025计算机类(2025计算机类)
CST326,区块链技术 Financial Certification-Theory and Practice,3.0,51,必修,20252025计算机类(2025计算机类)
CST334,数据安全与隐私保护 Data Security and Privacy Protection,3.0,51,必修,20252025计算机类(2025计算机类)
CST335,系统与应用安全 System and Application Security,3.0,51,必修,20252025计算机类(2025计算机类)
CST123,数据仓库 Data Warehouse,3.0,51,必修,20252025计算机类(2025计算机类)
CST132,JAVA EE开发实践 JAVA EE Development Practice,2.0,34,必修,20252025计算机类(2025计算机类)
CST403,矩阵分析 Matrix Analysis,2.0,34,必修,20252025计算机类(2025计算机类)
CST339,金融科技基础 Basics of Financial Technology,2.0,34,必修,20252025计算机类(2025计算机类)
CST412,图论及其应用 Graph theory and its applications,2.0,34,必修,20252025计算机类(2025计算机类)
CST336,移动应用开发实践 Mobile Application Development,2.0,34,必修,20252025计算机类(2025计算机类)
CST337,人工智能综合实践 Comprehensive Practice of Artificial Intelligence,2.0,34,必修,20252025计算机类(2025计算机类)
CST345,知识图谱与应用 Knowledge Map and Application,2.0,34,必修,20252025计算机类(2025计算机类)
CST343,联邦学习 Federated Learning,2.0,34,必修,20252025计算机类(2025计算机类)
CST410,算法交易 Algorithmic Trading,2.0,34,必修,20252025计算机类(2025计算机类)
DSC402,强化学习 Reinforcement Learning,2.0,34,必修,20252025计算机类(2025计算机类)
ECO332,博弈论 Game Theory,2.0,34,必修,20252025计算机类(2025计算机类)
CST131,学术前沿系列 Academic Frontier Series,1.0,0,必修,20252025计算机类(2025计算机类)
CST421,科技竞赛 Science and technology competition,1.0,0,必修,20252025计算机类(2025计算机类)
MTT102,军事技能 Military Skills,2.0,112,必修,20252025计算机类(2025计算机类)
PRT102,名著阅读 Classics Reading,2.0,34,必修,20252025计算机类(2025计算机类)
PRT115,劳动教育 Labor Education,2.0,32,必修,20252025计算机类(2025计算机类)
CST130,创新程序设计实践 Innovative Programming Designing Practice,2.0,34,必修,20252025计算机类(2025计算机类)
CST328,计算机系统综合实验 Computer System Synthesis Experiment,2.0,34,必修,20252025计算机类(2025计算机类)
OPT550,科学研究与论文写作指导 Scientific research and thesis writing guidance,1.0,18,必修,20252025计算机类(2025计算机类)
CST341,专业综合项目实训 Professional Comprehensive Project Training,2.0,34,必修,20252025计算机类(2025计算机类)
CST911,科技创新与产业前沿 Technology Innovation and Industry Frontier,1.0,18,必修,20252025计算机类(2025计算机类)
JTC030,计算机科学与技术毕业实习 Graduatin Internship in Computer Science and Technology,4.0,0,必修,20252025计算机类(2025计算机类)
JTC031,人工智能毕业实习 Graduatin Internship in Artificial Intelligence,4.0,0,必修,20252025计算机类(2025计算机类)
JTC036,网络空间安全毕业实习 Graduation Internship of the Cybersecurity,4.0,0,必修,20252025计算机类(2025计算机类)
STA105,数据科学与大数据技术毕业 实习 Graduation Internship in Data Science and Big Data Technology,4.0,0,必修,20252025计算机类(2025计算机类)
JTC034,人工智能毕业论文 Graduatin THesis in Artificial Intelligence,6.0,0,必修,20252025计算机类(2025计算机类)
JTC038,网络空间安全毕业论文 Graduation Thesis of the Cybersecurity,6.0,0,必修,20252025计算机类(2025计算机类)
STA110,数据科学与大数据技术毕业 论文 Graduation Thesis in Data Science and Big Data Technology,6.0,0,必修,20252025计算机类(2025计算机类)
